#{"t_start": 1767282671.5226421, "env_id": "None"}
r,l,t
65.78769,15,3.161679
75.556526,17,3.1617
141.6507,30,3.164765
75.402596,17,3.166394
85.27178,19,3.166413
81.139984,18,3.17507
88.56938,20,3.178155
76.24746,17,3.178174
76.275246,17,3.178179
102.46364,22,3.179666
143.50374,31,3.182441
91.04573,20,3.185272
100.0158,23,3.189266
87.178406,20,3.189284
173.57924,37,3.190807
107.475075,23,3.193384
99.34292,21,3.194774
80.52792,18,3.194791
92.02647,20,3.197679
70.86011,16,3.200481
80.75963,18,3.200498
105.59218,25,3.203695
80.121796,18,3.203714
131.31285,28,3.204947
107.458786,24,3.211962
80.17817,18,3.214567
77.18799,18,3.21606
107.890175,24,3.216076
97.588165,22,3.216081
114.7019,26,3.216084
71.1483,16,3.217482
75.85694,17,3.217498
75.76252,17,3.218972
91.182556,21,3.218989
71.61068,16,3.220757
76.74837,17,3.22944
95.70003,21,3.233668
101.27554,23,3.233687
110.465836,25,3.239899
71.46548,16,3.23992
80.11007,18,3.241349
75.97198,17,3.241365
76.57037,17,3.243086
84.47029,19,3.247346
70.40171,16,3.253827
136.45213,30,3.256966
171.08037,39,3.258523
108.837944,25,3.25854
131.08856,29,3.26258
88.23299,20,3.264275
154.1025,32,3.264294
70.292274,16,3.266903
138.14401,33,3.266919
76.35064,17,3.266924
84.11171,19,3.268875
101.49453,23,3.268894
155.9013,37,3.271832
103.89849,24,3.277999
113.58286,28,3.282399
76.1755,17,3.282418
65.8772,15,3.285293
107.746315,24,3.289532
95.31998,21,3.289549
76.432144,17,3.292849
86.67556,19,3.292865
75.69685,17,3.29287
154.34897,33,3.297401
118.246666,26,3.305973
103.07722,22,3.307595
85.535225,19,3.309279
114.32487,26,3.309297
76.617325,17,3.311169
80.83146,18,3.316118
121.029045,29,3.316135
137.19447,30,3.317954
151.94955,37,3.31797
77.66377,17,3.319462
71.18678,16,3.320856
76.24368,17,3.322259
92.10006,20,3.323837
83.81929,20,3.326959
128.95753,29,3.32997
81.06541,18,3.336642
76.37293,17,3.338501
99.65826,22,3.346407
81.045456,18,3.346426
98.86622,24,3.346431
99.92006,24,3.349448
80.48098,18,3.349464
75.363,17,3.350975
93.315605,20,3.350991
153.43535,33,3.353702
107.50156,24,3.355118
75.35375,17,3.357865
102.31553,24,3.359408
125.57051,27,3.360845
76.02393,17,3.364201
80.37385,18,3.37696
89.31143,20,3.376982
156.30243,36,3.381359
87.51301,20,3.381377
153.49187,35,3.382823
81.052605,18,3.38284
114.61979,25,3.387485
76.05285,17,3.387501
102.749855,24,3.387506
122.974525,29,3.390332
148.72023,34,3.391965
80.20859,19,3.393304
135.94896,32,3.394711
137.60239,30,3.403345
80.21486,18,3.403364
132.77359,30,3.405131
155.04407,35,3.406835
72.80407,17,3.406851
80.87158,18,3.408336
99.496086,21,3.408354
89.23571,21,3.41465
71.00744,16,3.414667
85.40776,19,3.416287
95.85849,21,3.419432
80.79503,18,3.422408
75.26515,17,3.422427
115.62065,27,3.437242
80.29183,18,3.437272
147.45819,33,3.441855
97.22836,21,3.443327
106.32322,23,3.443343
174.0719,38,3.444882
95.56932,21,3.444896
76.53666,17,3.446524
85.92718,19,3.448056
115.60253,27,3.44987
94.960045,24,3.449886
98.42865,21,3.451164
75.86125,17,3.45118
76.21595,17,3.461996
117.27138,27,3.463478
128.02583,27,3.464955
158.66005,37,3.466839
75.40817,17,3.468606
86.78578,19,3.470189
80.53538,18,3.472791
88.32905,20,3.474208
96.66685,21,3.474224
126.6779,28,3.478548
96.02276,21,3.480143
107.05311,23,3.481441
94.350395,22,3.482781
107.66245,23,3.484142
83.51006,19,3.489749
121.39619,28,3.489766
139.29735,32,3.491173
90.102875,21,3.494076
87.65428,20,3.494094
85.28701,19,3.495479
83.42626,19,3.501701
91.80734,20,3.503428
81.55701,18,3.504923
130.68336,27,3.506424
71.23935,16,3.506441
96.55369,21,3.512422
123.51212,27,3.512439
95.80883,23,3.513884
82.17219,18,3.516978
76.4837,17,3.516995
71.53383,16,3.520785
113.21992,25,3.522449
78.2996,18,3.522465
