#{"t_start": 1766737065.6382568, "env_id": "None"}
r,l,t
152195.17,1000,152.931191
146766.56,1000,152.931194
150370.42,1000,152.931198
148949.6,1000,152.931201
153183.25,1000,152.931203
151906.42,1000,154.823936
151090.69,1000,154.823979
127270.81,1000,154.823986
127774.734,1000,154.82399
151980.66,1000,154.823993
149357.53,1000,154.823997
151701.22,1000,154.824004
115228.25,1000,154.824007
151673.77,1000,154.82401
151922.52,1000,154.824013
94664.09,1000,154.824017
152843.98,1000,154.82402
150334.62,1000,154.824023
150899.23,1000,154.824026
150124.48,1000,154.824029
153323.25,1000,154.824032
152737.72,1000,157.158845
152224.86,1000,157.158887
151651.55,1000,157.158893
151618.77,1000,157.158897
152362.94,1000,157.158901
151949.36,1000,157.158905
152297.77,1000,157.158908
152542.08,1000,157.158911
150597.81,1000,157.158915
149141.06,1000,157.158918
152154.17,1000,157.158921
151973.03,1000,157.158925
153044.52,1000,157.158928
150922.27,1000,157.158931
150961.97,1000,157.158935
152156.02,1000,157.158938
152164.64,1000,159.022159
152195.48,1000,159.022198
152924.53,1000,159.022204
152773.56,1000,159.022208
130103.7,1000,159.022211
153459.33,1000,159.022215
151574.11,1000,159.022218
150851.05,1000,159.022221
151852.27,1000,159.022225
153253.45,1000,159.022228
152798.62,1000,159.022231
151795.08,1000,159.022234
152701.17,1000,159.022237
151259.06,1000,159.02224
152476.23,1000,159.022243
150319.52,1000,159.022246
152780.84,1000,161.370469
151586.9,1000,161.370509
153549.08,1000,161.370515
152227.16,1000,161.370519
152536.64,1000,161.370523
153379.7,1000,161.370526
153827.78,1000,161.370529
152564.48,1000,161.370532
152982.03,1000,161.370535
153067.23,1000,161.370539
153985.38,1000,161.370542
153131.34,1000,161.370545
152357.12,1000,161.370548
153134.84,1000,161.370551
140709.97,1000,161.370554
150399.36,1000,161.370558
152299.83,1000,163.190832
153354.77,1000,163.190924
153535.52,1000,163.190932
152511.34,1000,163.190936
152162.67,1000,163.19094
153229.2,1000,163.190943
151703.9,1000,163.190946
151912.11,1000,163.190949
153252.27,1000,163.190952
152871.97,1000,163.190955
